Publication A,Publication B,Number,Publication A xx Publication B
21-D-17,03-D-07,2,Quotes
21-D-17,10-D-21,1,Quotes
21-D-17,12-D-05,1,Quotes
21-D-17,02-D-36,1,Quotes
21-D-17,14-D-04,3,Quotes
21-D-17,15-D-02,1,Quotes
21-D-17,09-D-27,1,Quotes
21-D-17,03-D-12,1,Quotes
21-D-17,20-D-03,1,Quotes
21-D-17,20-D-07,5,Quotes
21-D-17,19-D-26,3,Quotes
21-D-17,20-MC-01,15,Quotes
21-D-17,04-D-47,1,Quotes
21-D-17,05-D-08,1,Quotes
21-D-17,05-D-09,2,Quotes
21-D-16,11-D-17,1,Quotes
21-D-16,17-D-27,4,Quotes
21-D-16,19-D-09,2,Quotes
21-D-15,19-D-12,1,Quotes
21-D-15,21-D-03,3,Quotes
21-D-14,05-D-27,1,Quotes
21-D-14,10-D-13,1,Quotes
21-D-14,10-D-19,1,Quotes
21-D-14,11-D-02,1,Quotes
21-D-14,18-D-26,2,Quotes
21-D-14,20-D-04,2,Quotes
21-D-14,20-D-20,2,Quotes
21-D-13,04-D-77,2,Quotes
21-D-13,06-D-23,1,Quotes
21-D-13,14-A-12,2,Quotes
21-D-13,04-D-11,1,Quotes
21-D-12,03-MC-01,1,Quotes
21-D-12,13-A-19,1,Quotes
21-D-12,04-A-09,6,Quotes
21-D-12,07-A-07,6,Quotes
21-D-12,14-D-17,2,Quotes
21-D-12,19-A-04,3,Quotes
21-D-12,19-D-26,4,Quotes
21-D-12,21-D-07,3,Quotes
21-D-11,05-D-32,1,Quotes
21-D-11,10-MC-01,1,Quotes
21-D-11,13-D-12,1,Quotes
21-D-11,17-D-20,1,Quotes
21-D-11,18-A-03,4,Quotes
21-D-11,19-D-21,1,Quotes
21-D-11,19-D-26,3,Quotes
21-D-11,21-D-07,1,Quotes
21-D-10,11-D-02,1,Quotes
21-D-10,11-D-17,1,Quotes
21-D-10,17-D-27,3,Quotes
21-D-10,19-D-09,2,Quotes
21-D-10,20-D-09,4,Quotes
21-D-09,09-D-06,1,Quotes
21-D-09,09-D-03,1,Quotes
21-D-09,05-D-27,1,Quotes
21-D-09,06-D-08,1,Quotes
21-D-09,07-D-48,2,Quotes
21-D-09,08-D-33,1,Quotes
21-D-09,06-D-03,1,Quotes
21-D-09,08-D-12,1,Quotes
21-D-09,10-D-35,1,Quotes
21-D-09,11-D-17,2,Quotes
21-D-09,13-D-03,1,Quotes
21-D-09,13-D-12,1,Quotes
21-D-09,15-D-03,2,Quotes
21-D-09,18-D-19,1,Quotes
21-D-09,18-D-24,1,Quotes
21-D-09,19-D-24,1,Quotes
21-D-09,20-D-05,1,Quotes
21-D-09,20-D-09,3,Quotes
21-D-08,09-D-24,1,Quotes
21-D-08,00-D-27,1,Quotes
21-D-08,05-D-15,1,Quotes
21-D-08,03-D-18,1,Quotes
21-D-08,18-D-17,1,Quotes
21-D-07,10-MC-01,1,Quotes
21-D-07,11-D-09,1,Quotes
21-D-07,13-D-11,1,Quotes
21-D-07,13-D-07,1,Quotes
21-D-07,18-A-03,3,Quotes
21-D-07,20-D-04,1,Quotes
21-D-07,19-D-26,4,Quotes
21-D-07,21-D-11,1,Is quoted by
21-D-07,21-D-12,3,Is quoted by
21-D-06,05-D-27,1,Quotes
21-D-06,09-D-19,1,Quotes
21-D-06,02-D-62,1,Quotes
21-D-06,07-D-48,1,Quotes
21-D-06,99-D-50,4,Quotes
21-D-06,10-D-13,1,Quotes
21-D-06,11-D-02,1,Quotes
21-D-06,11-D-13,1,Quotes
21-D-06,11-D-17,1,Quotes
21-D-06,13-D-09,2,Quotes
21-D-06,14-D-16,6,Quotes
21-D-06,92-D-37,1,Quotes
21-D-06,16-D-02,1,Quotes
21-D-06,16-D-28,1,Quotes
21-D-06,18-D-05,6,Quotes
21-D-06,19-D-05,1,Quotes
21-D-06,20-D-05,2,Quotes
21-D-06,89-D-41,1,Quotes
21-D-05,09-D-03,2,Quotes
21-D-05,05-D-17,4,Quotes
21-D-05,06-D-08,1,Quotes
21-D-05,01-D-14,1,Quotes
21-D-05,06-D-07,2,Quotes
21-D-05,07-D-47,4,Quotes
21-D-05,08-D-30,2,Quotes
21-D-05,09-D-34,2,Quotes
21-D-05,08-D-25,2,Quotes
21-D-05,10-D-04,1,Quotes
21-D-05,10-D-10,1,Quotes
21-D-05,05-D-45,1,Quotes
21-D-05,11-D-02,4,Quotes
21-D-05,11-D-13,1,Quotes
21-D-05,12-D-10,1,Quotes
21-D-05,13-D-09,3,Quotes
21-D-05,15-D-10,1,Quotes
21-D-05,16-D-02,1,Quotes
21-D-05,16-D-28,1,Quotes
21-D-05,18-D-05,1,Quotes
21-D-05,18-D-19,1,Quotes
21-D-04,96-D-76,1,Quotes
21-D-03,10-D-02,1,Quotes
21-D-03,10-D-32,2,Quotes
21-D-03,13-D-16,1,Quotes
21-D-03,13-D-20,1,Quotes
21-D-03,14-D-07,1,Quotes
21-D-03,14-MC-02,1,Quotes
21-D-03,17-D-16,1,Quotes
21-D-03,18-D-12,1,Quotes
21-D-03,19-MC-01,1,Quotes
21-D-03,21-D-15,3,Is quoted by
21-D-02,09-A-03,1,Quotes
21-D-02,07-D-50,1,Quotes
21-D-02,12-A-20,2,Quotes
21-D-02,91-D-50,1,Quotes
21-D-02,97-D-31,1,Quotes
21-D-02,12-A-22,1,Quotes
21-D-02,99-D-45,1,Quotes
21-D-01,09-D-06,1,Quotes
21-D-01,05-D-65,1,Quotes
21-D-01,10-D-26,1,Quotes
21-D-01,11-D-13,1,Quotes
21-D-01,14-D-19,1,Quotes
21-D-01,15-A-16,6,Quotes
21-D-01,19-D-12,2,Quotes
21-D-01,19-D-24,1,Quotes
21-A-17,09-A-09,1,Quotes
21-A-17,06-A-01,1,Quotes
21-A-17,07-D-30,1,Quotes
21-A-17,10-D-09,2,Quotes
21-A-17,12-A-13,1,Quotes
21-A-17,15-A-01,1,Quotes
21-A-17,15-A-10,1,Quotes
21-A-17,15-D-01,1,Quotes
21-A-17,16-D-11,6,Quotes
21-A-17,19-A-03,15,Quotes
21-A-17,20-D-01,1,Quotes
21-A-16,21-A-03,2,Quotes
21-A-16,19-D-25,2,Quotes
21-A-13,09-D-40,2,Quotes
21-A-13,12-A-17,1,Quotes
21-A-10,09-A-50,4,Quotes
21-A-10,08-A-12,4,Quotes
21-A-10,10-A-19,3,Quotes
21-A-10,17-A-05,1,Quotes
21-A-10,02-A-02,1,Quotes
21-A-10,21-A-03,2,Quotes
21-A-08,09-A-42,1,Quotes
21-A-08,09-D-36,1,Quotes
21-A-08,07-D-44,1,Quotes
21-A-08,10-D-07,1,Quotes
21-A-08,12-D-27,2,Quotes
21-A-08,04-D-66,1,Quotes
21-A-08,14-D-18,1,Quotes
21-A-08,04-D-44,1,Quotes
21-A-08,20-D-20,1,Quotes
21-A-08,21-A-03,1,Quotes
21-A-08,98-D-76,1,Quotes
21-A-07,04-A-17,1,Quotes
21-A-07,03-A-16,2,Quotes
21-A-07,06-A-12,1,Quotes
21-A-07,00-A-29,1,Quotes
21-A-07,98-A-05,1,Quotes
21-A-07,07-D-43,1,Quotes
21-A-07,04-D-48,1,Quotes
21-A-07,11-A-16,1,Quotes
21-A-07,05-A-19,1,Quotes
21-A-07,06-A-15,1,Quotes
21-A-07,06-A-23,1,Quotes
21-A-07,13-A-14,1,Quotes
21-A-07,14-A-09,2,Quotes
21-A-07,16-MC-01,1,Quotes
21-A-07,17-D-26,1,Quotes
21-A-07,19-A-02,10,Quotes
21-A-06,04-A-12,1,Quotes
21-A-06,06-A-03,1,Quotes
21-A-06,98-A-07,1,Quotes
21-A-05,05-D-72,1,Quotes
21-A-05,10-A-13,1,Quotes
21-A-05,11-D-11,7,Quotes
21-A-05,04-D-77,1,Quotes
21-A-05,13-D-18,1,Quotes
21-A-05,14-A-07,2,Quotes
21-A-05,14-D-06,1,Quotes
21-A-05,17-D-11,1,Quotes
21-A-05,18-A-03,6,Quotes
21-A-05,19-D-26,1,Quotes
21-A-05,19-D-25,1,Quotes
21-A-04,16-A-03,1,Quotes
21-A-04,16-A-13,14,Quotes
21-A-04,16-A-16,1,Quotes
21-A-04,16-A-18,1,Quotes
21-A-04,16-A-25,2,Quotes
21-A-04,18-A-08,16,Quotes
21-A-04,20-A-03,1,Quotes
21-A-03,09-A-50,11,Quotes
21-A-03,06-A-07,1,Quotes
21-A-03,10-A-02,1,Quotes
21-A-03,10-A-11,1,Quotes
21-A-03,06-A-18,1,Quotes
21-A-03,12-A-14,1,Quotes
21-A-03,19-D-17,1,Quotes
21-A-03,04-A-06,1,Quotes
21-A-03,05-D-47,1,Quotes
21-A-03,21-A-08,1,Is quoted by
21-A-03,21-A-10,2,Is quoted by
21-A-03,21-A-16,2,Is quoted by
21-A-02,16-A-18,18,Quotes
21-A-02,18-A-11,24,Quotes
21-A-02,20-A-03,1,Quotes
21-A-01,03-A-06,1,Quotes
21-A-01,08-A-17,1,Quotes
21-A-01,97-A-07,1,Quotes
21-A-01,98-A-05,1,Quotes
21-A-01,10-A-04,3,Quotes
21-A-01,05-A-15,2,Quotes
21-A-01,04-A-05,1,Quotes
21-A-01,05-A-04,1,Quotes
21-A-01,13-A-14,1,Quotes
21-A-01,14-A-05,1,Quotes
21-A-01,96-D-51,2,Quotes
21-A-01,16-A-10,1,Quotes
21-A-01,90-D-22,2,Quotes
21-A-01,96-A-04,1,Quotes
21-A-01,99-A-15,1,Quotes
20-MC-01,09-D-02,1,Quotes
20-MC-01,09-D-24,1,Quotes
20-MC-01,10-D-08,1,Quotes
20-MC-01,13-D-16,1,Quotes
20-MC-01,13-D-04,1,Quotes
20-MC-01,14-MC-01,1,Quotes
20-MC-01,19-A-04,2,Quotes
20-MC-01,19-MC-01,2,Quotes
20-MC-01,19-D-26,5,Quotes
20-MC-01,21-D-17,15,Is quoted by
20-D-22,08-D-25,1,Quotes
20-D-22,97-A-04,1,Quotes
20-D-22,15-A-06,3,Quotes
20-D-22,20-D-13,2,Quotes
20-D-21,06-D-18,1,Quotes
20-D-21,09-D-38,1,Quotes
20-D-21,01-A-14,1,Quotes
20-D-21,12-D-02,1,Quotes
20-D-21,15-D-04,1,Quotes
20-D-21,17-D-15,1,Quotes
20-D-21,19-D-19,1,Quotes
20-D-21,20-D-11,1,Quotes
20-D-21,20-D-15,1,Quotes
20-D-20,05-D-27,1,Quotes
20-D-20,10-D-13,1,Quotes
20-D-20,10-D-19,1,Quotes
20-D-20,11-D-02,1,Quotes
20-D-20,12-D-10,1,Quotes
20-D-20,11-D-19,2,Quotes
20-D-20,19-D-17,1,Quotes
20-D-20,20-D-04,2,Quotes
20-D-20,21-A-08,1,Is quoted by
20-D-20,21-D-14,2,Is quoted by
20-D-20,21-D-20,5,Is quoted by
20-D-20,21-D-24,1,Is quoted by
20-D-20,21-D-26,4,Is quoted by
20-D-19,99-D-18,1,Quotes
20-D-19,09-D-36,1,Quotes
20-D-19,03-D-01,1,Quotes
20-D-19,03-D-07,1,Quotes
20-D-19,06-D-26,1,Quotes
20-D-19,10-D-04,1,Quotes
20-D-19,04-D-08,1,Quotes
20-D-19,07-D-12,1,Quotes
20-D-19,10-D-39,1,Quotes
20-D-19,92-D-68,1,Quotes
20-D-19,18-D-02,1,Quotes
20-D-19,08-D-29,1,Quotes
20-D-19,91-D-12,1,Quotes
20-D-17,09-A-46,2,Quotes
20-D-17,91-D-04,2,Quotes
20-D-17,09-D-07,16,Quotes
20-D-17,03-D-68,1,Quotes
20-D-17,05-D-43,3,Quotes
20-D-17,07-D-41,5,Quotes
20-D-17,97-D-18,2,Quotes
20-D-17,97-D-26,2,Quotes
20-D-17,09-D-17,1,Quotes
20-D-17,05-D-27,1,Quotes
20-D-17,06-D-07,1,Quotes
20-D-17,07-D-15,1,Quotes
20-D-17,10-D-11,9,Quotes
20-D-17,06-D-30,1,Quotes
20-D-17,10-D-13,2,Quotes
20-D-17,10-D-19,1,Quotes
20-D-17,10-D-25,1,Quotes
20-D-17,06-D-36,1,Quotes
20-D-17,10-D-32,1,Quotes
20-D-17,11-D-02,1,Quotes
20-D-17,11-D-17,1,Quotes
20-D-17,12-D-02,1,Quotes
20-D-17,07-D-05,1,Quotes
20-D-17,12-D-19,2,Quotes
20-D-17,13-D-11,1,Quotes
20-D-17,13-D-21,1,Quotes
20-D-17,13-D-05,2,Quotes
20-D-17,14-D-19,1,Quotes
20-D-17,16-A-24,1,Quotes
20-D-17,16-D-09,1,Quotes
20-D-17,16-D-20,1,Quotes
20-D-17,16-D-23,2,Quotes
20-D-17,17-D-25,1,Quotes
20-D-17,17-D-27,1,Quotes
20-D-17,18-D-01,1,Quotes
20-D-17,18-D-06,5,Quotes
20-D-17,18-D-18,1,Quotes
20-D-17,19-D-01,1,Quotes
20-D-17,19-D-19,2,Quotes
20-D-17,20-D-12,2,Quotes
20-D-17,21-D-21,3,Is quoted by
20-D-16,09-A-45,1,Quotes
20-D-16,07-D-44,1,Quotes
20-D-16,16-D-15,2,Quotes
20-D-16,18-D-03,3,Quotes
20-D-16,18-D-21,1,Quotes
20-D-16,19-D-11,1,Quotes
20-D-16,19-D-20,1,Quotes
20-D-16,21-D-23,1,Is quoted by
20-D-15,06-D-18,1,Quotes
20-D-15,09-D-23,1,Quotes
20-D-15,14-D-06,1,Quotes
20-D-15,20-D-21,1,Is quoted by
20-D-15,21-D-25,1,Is quoted by
20-D-14,19-MC-01,23,Quotes
20-D-14,19-D-26,37,Quotes
20-D-13,08-D-25,1,Quotes
20-D-13,10-A-26,2,Quotes
20-D-13,97-A-04,1,Quotes
20-D-13,18-A-04,2,Quotes
20-D-13,20-D-22,2,Is quoted by
20-D-12,07-D-41,1,Quotes
20-D-12,04-D-07,3,Quotes
20-D-12,10-A-20,2,Quotes
20-D-12,06-D-03,1,Quotes
20-D-12,10-D-11,2,Quotes
20-D-12,94-D-51,2,Quotes
20-D-12,07-D-21,1,Quotes
20-D-12,11-A-03,1,Quotes
20-D-12,11-A-11,1,Quotes
20-D-12,12-D-02,2,Quotes
20-D-12,07-D-05,1,Quotes
20-D-12,12-D-06,1,Quotes
20-D-12,01-D-41,1,Quotes
20-D-12,07-D-16,1,Quotes
20-D-12,12-D-08,5,Quotes
20-D-12,05-D-10,2,Quotes
20-D-12,05-D-55,1,Quotes
20-D-12,12-D-09,1,Quotes
20-D-12,13-D-12,1,Quotes
20-D-12,15-D-19,2,Quotes
20-D-12,98-D-61,1,Quotes
20-D-12,16-D-20,4,Quotes
20-D-12,18-A-04,1,Quotes
20-D-12,18-D-06,4,Quotes
20-D-12,19-A-12,1,Quotes
20-D-12,97-D-41,1,Quotes
20-D-12,20-D-17,2,Is quoted by
20-D-12,21-D-21,1,Is quoted by
20-D-11,09-D-06,1,Quotes
20-D-11,07-D-23,1,Quotes
20-D-11,06-D-18,3,Quotes
20-D-11,07-D-33,3,Quotes
20-D-11,09-D-14,1,Quotes
20-D-11,05-D-58,3,Quotes
20-D-11,05-D-64,1,Quotes
20-D-11,03-D-35,2,Quotes
20-D-11,10-D-02,6,Quotes
20-D-11,10-D-32,3,Quotes
20-D-11,10-D-36,1,Quotes
20-D-11,12-D-06,2,Quotes
20-D-11,06-D-02,1,Quotes
20-D-11,13-A-24,1,Quotes
20-D-11,13-D-11,16,Quotes
20-D-11,13-D-21,14,Quotes
20-D-11,16-D-11,2,Quotes
20-D-11,16-D-17,1,Quotes
20-D-11,05-D-20,1,Quotes
20-D-11,17-D-25,19,Quotes
20-D-11,18-D-26,1,Quotes
20-D-11,20-D-04,1,Quotes
20-D-11,20-D-21,1,Is quoted by
20-D-10,09-D-07,2,Quotes
20-D-10,05-D-43,1,Quotes
20-D-10,07-D-41,1,Quotes
20-D-10,97-D-18,1,Quotes
20-D-10,98-D-73,1,Quotes
20-D-10,09-D-17,1,Quotes
20-D-10,10-D-11,1,Quotes
20-D-10,94-D-18,1,Quotes
20-D-10,18-D-01,1,Quotes
20-D-10,18-D-18,1,Quotes
20-D-09,07-D-50,1,Quotes
20-D-09,09-D-06,1,Quotes
20-D-09,07-D-33,1,Quotes
20-D-09,05-D-27,1,Quotes
20-D-09,07-D-48,2,Quotes
20-D-09,99-D-50,1,Quotes
20-D-09,08-D-32,2,Quotes
20-D-09,06-D-03,1,Quotes
20-D-09,08-D-12,1,Quotes
20-D-09,10-D-35,1,Quotes
20-D-09,02-D-57,1,Quotes
20-D-09,10-D-39,1,Quotes
20-D-09,11-D-02,1,Quotes
20-D-09,11-D-17,2,Quotes
20-D-09,08-D-20,1,Quotes
20-D-09,12-D-08,2,Quotes
20-D-09,02-D-36,1,Quotes
20-D-09,13-D-03,5,Quotes
20-D-09,13-D-09,1,Quotes
20-D-09,13-D-12,1,Quotes
20-D-09,14-D-19,3,Quotes
20-D-09,15-A-06,1,Quotes
20-D-09,15-D-03,5,Quotes
20-D-09,15-D-10,1,Quotes
20-D-09,15-D-19,7,Quotes
20-D-09,18-D-23,1,Quotes
20-D-09,18-D-24,2,Quotes
20-D-09,18-D-26,1,Quotes
20-D-09,19-D-24,5,Quotes
20-D-09,21-D-09,3,Is quoted by
20-D-09,21-D-10,4,Is quoted by
20-D-09,21-D-19,5,Is quoted by
20-D-09,21-D-20,1,Is quoted by
20-D-09,21-D-21,2,Is quoted by
20-D-08,09-D-02,1,Quotes
20-D-08,03-D-42,1,Quotes
20-D-08,04-D-28,2,Quotes
20-D-08,06-D-16,3,Quotes
20-D-08,09-D-38,1,Quotes
20-D-08,10-D-08,1,Quotes
20-D-08,10-D-36,2,Quotes
20-D-08,06-D-02,1,Quotes
20-D-08,16-D-17,1,Quotes
20-D-08,19-A-04,2,Quotes
20-D-08,19-D-18,2,Quotes
20-D-08,21-D-18,1,Is quoted by
20-D-07,05-D-49,2,Quotes
20-D-07,06-D-29,3,Quotes
20-D-07,10-D-21,2,Quotes
20-D-07,10-D-28,1,Quotes
20-D-07,11-A-02,1,Quotes
20-D-07,14-D-04,25,Quotes
20-D-07,15-D-02,7,Quotes
20-D-07,18-D-09,1,Quotes
20-D-07,18-D-16,1,Quotes
20-D-07,19-D-05,1,Quotes
20-D-07,18-A-00,1,Quotes
20-D-07,21-D-17,5,Is quoted by
20-D-06,00-D-50,1,Quotes
20-D-06,03-D-09,1,Quotes
20-D-06,04-D-32,1,Quotes
20-D-06,11-MC-01,4,Quotes
20-D-06,16-D-11,1,Quotes
20-D-06,17-D-08,2,Quotes
20-D-06,17-D-26,1,Quotes
20-D-05,05-D-27,1,Quotes
20-D-05,09-D-19,3,Quotes
20-D-05,01-D-63,2,Quotes
20-D-05,02-D-37,1,Quotes
20-D-05,02-D-62,2,Quotes
20-D-05,07-D-48,4,Quotes
20-D-05,94-D-19,1,Quotes
20-D-05,99-D-50,2,Quotes
20-D-05,94-D-51,4,Quotes
20-D-05,11-D-02,1,Quotes
20-D-05,11-D-13,1,Quotes
20-D-05,11-D-17,1,Quotes
20-D-05,12-D-02,1,Quotes
20-D-05,13-D-12,1,Quotes
20-D-05,14-D-16,3,Quotes
20-D-05,92-D-36,3,Quotes
20-D-05,92-D-37,1,Quotes
20-D-05,97-D-61,1,Quotes
20-D-05,15-D-19,1,Quotes
20-D-05,16-D-20,1,Quotes
20-D-05,21-D-06,2,Is quoted by
20-D-05,21-D-09,1,Is quoted by
20-D-04,08-D-10,1,Quotes
20-D-04,07-A-06,1,Quotes
20-D-04,07-D-50,1,Quotes
20-D-04,03-D-42,1,Quotes
20-D-04,05-D-65,2,Quotes
20-D-04,04-D-26,1,Quotes
20-D-04,05-D-27,1,Quotes
20-D-04,99-D-32,2,Quotes
20-D-04,05-D-32,2,Quotes
20-D-04,05-D-70,1,Quotes
20-D-04,01-D-49,1,Quotes
20-D-04,08-MC-01,1,Quotes
20-D-04,07-D-44,1,Quotes
20-D-04,10-D-08,3,Quotes
20-D-04,10-D-13,1,Quotes
20-D-04,10-D-19,1,Quotes
20-D-04,11-D-02,1,Quotes
20-D-04,97-D-31,2,Quotes
20-D-04,12-D-09,1,Quotes
20-D-04,06-D-04,1,Quotes
20-D-04,12-D-10,2,Quotes
20-D-04,11-D-19,1,Quotes
20-D-04,02-D-56,1,Quotes
20-D-04,13-D-12,2,Quotes
20-D-04,15-A-06,4,Quotes
20-D-04,07-D-06,1,Quotes
20-D-04,16-D-17,1,Quotes
20-D-04,04-D-44,1,Quotes
20-D-04,04-A-14,1,Quotes
20-D-04,18-D-19,1,Quotes
20-D-04,18-D-26,1,Quotes
20-D-04,06-D-22,1,Quotes
20-D-04,07-D-24,2,Quotes
20-D-04,20-D-11,1,Is quoted by
20-D-04,20-D-20,2,Is quoted by
20-D-04,21-D-07,1,Is quoted by
20-D-04,21-D-14,2,Is quoted by
20-D-04,21-D-20,3,Is quoted by
20-D-04,21-D-24,1,Is quoted by
20-D-04,21-D-26,3,Is quoted by
20-D-03,05-D-49,3,Quotes
20-D-03,06-D-29,3,Quotes
20-D-03,09-D-05,1,Quotes
20-D-03,10-D-21,3,Quotes
20-D-03,15-D-02,7,Quotes
20-D-03,18-D-09,1,Quotes
